date,store_id,revenue,transactions,avg_order_value,units_sold,returns,is_promo,is_holiday,temp_c,snow,extreme_weather
2022-01-01,S01,20729.79,581,35.68,1046,21,0,1,-1.7,0,0
2022-01-02,S01,12114.28,389,31.14,733,10,0,0,-3.6,0,0
2022-01-03,S01,7821.77,231,33.86,397,8,0,0,-3.8,1,0
2022-01-04,S01,8872.27,236,37.59,408,7,0,0,-3.8,0,0
2022-01-05,S01,7901.69,276,28.63,521,8,0,0,1.7,1,0
2022-01-06,S01,9295.36,245,37.94,483,4,0,0,-0.7,0,0
2022-01-07,S01,9269.6,290,31.96,541,3,0,0,-4.3,1,0
2022-01-08,S01,11524.45,353,32.65,535,4,0,0,-1.2,1,0
2022-01-09,S01,13223.65,462,28.62,895,6,0,0,-2.0,0,0
2022-01-10,S01,8087.66,265,30.52,443,9,0,0,-8.4,1,0
2022-01-11,S01,7701.3,267,28.84,457,7,0,0,-5.6,1,0
2022-01-12,S01,8208.93,222,36.98,438,7,0,0,-1.6,1,0
2022-01-13,S01,8847.38,287,30.83,485,5,0,0,2.0,1,0
2022-01-14,S01,9876.18,268,36.85,554,3,0,0,-3.0,0,0
2022-01-15,S01,13738.26,461,29.8,720,7,0,0,-3.9,0,0
2022-01-16,S01,10510.44,319,32.95,578,5,0,0,-1.8,1,0
2022-01-17,S01,8730.43,311,28.07,526,6,0,0,-3.9,0,0
2022-01-18,S01,8724.88,259,33.69,535,7,0,0,-2.8,0,0
2022-01-19,S01,8430.89,254,33.19,465,7,0,0,-1.9,1,0
2022-01-20,S01,8442.94,295,28.62,598,9,0,0,-4.9,0,0
2022-01-21,S01,10188.23,277,36.78,542,6,0,0,0.8,1,0
2022-01-22,S01,14070.41,439,32.05,646,12,0,0,-5.2,0,0
2022-01-23,S01,12173.2,425,28.64,615,6,0,0,-5.4,0,0
2022-01-24,S01,9477.93,319,29.71,522,3,0,0,-0.7,0,0
2022-01-25,S01,7979.77,284,28.1,427,3,0,0,1.1,1,0
2022-01-26,S01,7572.36,239,31.68,338,8,0,0,-0.5,1,0
2022-01-27,S01,8378.26,245,34.2,368,4,0,0,-1.2,1,0
2022-01-28,S01,7997.33,254,31.49,420,3,0,0,-1.7,1,0
2022-01-29,S01,13691.57,375,36.51,785,8,0,0,-2.0,1,0
2022-01-30,S01,13207.9,402,32.86,586,5,0,0,2.7,0,0
2022-01-31,S01,8072.84,256,31.53,405,8,0,0,-3.7,0,0
2022-02-01,S01,8308.73,280,29.67,396,10,0,0,0.2,1,0
2022-02-02,S01,8576.91,257,33.37,386,6,0,0,1.7,0,0
2022-02-03,S01,10172.63,359,28.34,635,14,0,0,2.8,0,0
2022-02-04,S01,8576.31,234,36.65,441,4,0,0,-2.3,0,0
2022-02-05,S01,13060.91,412,31.7,624,13,0,0,-0.5,0,0
2022-02-06,S01,10421.94,312,33.4,606,6,0,0,-0.9,1,0
2022-02-07,S01,8284.06,274,30.23,539,10,0,0,0.2,1,0
2022-02-08,S01,10157.23,278,36.54,546,9,0,0,3.3,0,0
2022-02-09,S01,9331.84,263,35.48,409,6,0,0,5.1,0,0
2022-02-10,S01,8800.2,278,31.66,394,3,0,0,1.0,1,0
2022-02-11,S01,10525.1,341,30.87,539,10,0,0,4.4,0,0
2022-02-12,S01,15287.89,406,37.65,695,15,0,0,4.5,0,0
2022-02-13,S01,12619.03,333,37.89,688,6,0,0,4.1,0,0
2022-02-14,S01,8041.6,266,30.23,414,4,0,0,6.4,0,0
2022-02-15,S01,8190.42,272,30.11,499,10,0,0,3.1,0,0
2022-02-16,S01,9738.84,267,36.48,463,7,0,0,12.4,0,0
2022-02-17,S01,10290.33,285,36.11,415,8,0,0,-0.3,0,0
2022-02-18,S01,10811.99,291,37.15,566,9,0,0,2.9,0,0
2022-02-19,S01,12170.86,371,32.81,565,12,0,0,1.9,1,0
